genus	family	notes
Colletia	Rhamnaceae	
Colliguaja	Euphorbiaceae	
Collinsia	Scrophulariaceae	
Collinsonia	Lamiaceae	
Collomia	Polemoniaceae	
Collospermum	Asteliaceae	
Colobanthus	Caryophyllaceae	
Colocasia	Araceae	
Colquhounia	Lamiaceae	
Columnea	Gesneriaceae	
Coluria	Rosaceae	
Colutea	Papilionaceae	
Coluteocarpus	Brassicaceae	
Colvillea	Caesalpiniaceae	
Colysis	Polypodiaceae	
Comarum	Rosaceae	
Combretum	Combretaceae	
Commelina	Commelinaceae	
Commidendrum	Asteraceae	
Commiphora	Burseraceae	
Comospermum	Asparagaceae	
Comptonia	Myricaceae	
Conandron	Gesneriaceae	
Conanthera	Tecophilaeaceae	
Congea	Verbenaceae	
Conicosia	Aizoaceae	
Coniogramme	Pteridaceae	
Conioselinum	Apiaceae	
Conium	Apiaceae	
Conocephalum	Conocephalaceae	
Conoclinium	Asteraceae	
Conopodium	Apiaceae	
Conostylis	Haemodoraceae	
Conradina	Lamiaceae	
Conringia	Brassicaceae	
Consolea	Cactaceae	
Consolida	Ranunculaceae	
Convallaria	Asparagaceae	
Convolvulus	Convolvulaceae	
Cooperanthes	Amaryllidaceae	
Cooperia	Amaryllidaceae	
Copernicia	Arecaceae	
Coprosma	Rubiaceae	
Coptis	Ranunculaceae	
Coralia	Papilionaceae	
Corallospartium	Papilionaceae	
Cordyline	Asparagaceae	
Coreopsis	Asteraceae	
Corethrogyne	Asteraceae	
Coriandrum	Apiaceae	
Coriaria	Coriariaceae	
Coris	Primulaceae	
Cornukaempferia	Zingiberaceae	
Cornus	Cornaceae	
Corokia	Argyrophyllaceae	
Coronilla	Papilionaceae	
Correa	Rutaceae	
Cortaderia	Poaceae	
Cortia	Apiaceae	
Cortiella	Apiaceae	
Cortusa	Primulaceae	
Corybas	Orchidaceae	
Corydalis	Papaveraceae	
Corylopsis	Hamamelidaceae	
Corylus	Betulaceae	
Corymbia	Myrtaceae	
Corymbium	Asteraceae	
Corynabutilon	Malvaceae	
Corynephorus	Poaceae	
Corynocarpus	Corynocarpaceae	
Corynopuntia	Cactaceae	
Cosmos	Asteraceae	
Costus	Costaceae	
Cotinus	Anacardiaceae	
Cotoneaster	Rosaceae	
Cotula	Asteraceae	
Cotyledon	Crassulaceae	
Cousinia	Asteraceae	
Cowania	Rosaceae	
Coxella	Apiaceae	
Craibiodendron	Ericaceae	
Crambe	Brassicaceae	
Craspedia	Asteraceae	
Crassothonna	Asteraceae	
Crassula	Crassulaceae	
Crataegomespilus	Rosaceae	
Crataegosorbus	Rosaceae	
Crataegus	Rosaceae	
Crataemespilus	Rosaceae	
Craterocapsa	Campanulaceae	
Craterostigma	Scrophulariaceae	
Crawfurdia	Gentianaceae	
Cremanthodium	Asteraceae	
Cremastra	Orchidaceae	
Cremnosedum	Crassulaceae	
Crenularia	Brassicaceae	
Crepis	Asteraceae	
Crinitaria	Asteraceae	
Crinodendron	Elaeocarpaceae	
Crinum	Amaryllidaceae	
Criogenes	Orchidaceae	
Cristaria	Malvaceae	
Crithmum	Apiaceae	
Crocosmia	Iridaceae	For Crocosmia paniculata See <g>Curtonus</g>
Crocus	Iridaceae	
Croomia	Stemonaceae	
Crossandra	Acanthaceae	
Crossyne	Amaryllidaceae	
Crotalaria	Papilionaceae	
Croton	Euphorbiaceae	
Crowea	Rutaceae	
Crucianella	Rubiaceae	
Cruciata	Rubiaceae	
Crusea	Rubiaceae	
Cryptantha	Boraginaceae	
Cryptanthus	Bromeliaceae	
Cryptbergia	Bromeliaceae	
Cryptocarya	Lauraceae	
Cryptocoryne	Araceae	
Cryptogramma	Pteridaceae	
Cryptomeria	Cupressaceae	
Cryptostegia	Apocynaceae	
Cryptotaenia	Apiaceae	
Ctenanthe	Marantaceae	
Ctenitis	Dryopteridaceae	
Ctenium	Poaceae	
Cucubalus	Caryophyllaceae	
Cucumis	Cucurbitaceae	
Cucurbita	Cucurbitaceae	
Cudrania	Moraceae	
Culcita	Dicksoniaceae	
Cuminum	Apiaceae	
Cumulopuntia	Cactaceae	
Cunila	Lamiaceae	
Cunninghamia	Cupressaceae	
Cunonia	Cunoniaceae	
Cuphea	Lythraceae	
Cupressocyparis	Cupressaceae	
Cupressus	Cupressaceae	
Cuprocyparis	Cupressaceae	
Curculigo	Hypoxidaceae	
Curcuma	Zingiberaceae	
Curcumorpha	Zingiberaceae	
Curio	Asteraceae	
Curtonus	Iridaceae	
Cuscuta	Convolvulaceae	
Cuspidaria	Bignoniaceae	
Cussonia	Araliaceae	
Cyananthus	Campanulaceae	
Cyanastrum	Tecophilaeaceae	
Cyanella	Tecophilaeaceae	
Cyanotis	Commelinaceae	
Cyathea	Cyatheaceae	
Cyathodes	Ericaceae	
Cybistetes	Amaryllidaceae	
Cycas	Cycadaceae	
Cyclamen	Primulaceae	
Cyclanthera	Cucurbitaceae	
Cyclea	Menispermaceae	
Cyclosorus	Thelypteridaceae	
Cydista	Bignoniaceae	
Cydonia	Rosaceae	
Cylindropuntia	Cactaceae	
Cymbalaria	Plantaginaceae	
Cymbidium	Orchidaceae	
Cymbopogon	Poaceae	
Cymophyllus	Cyperaceae	
Cymopterus	Apiaceae	
Cynanchum	Apocynaceae	
Cynara	Asteraceae	
Cynodon	Poaceae	
Cynoglossum	Boraginaceae	
Cynoglottis	Boraginaceae	
Cynosurus	Poaceae	
Cypella	Iridaceae	
Cyperus	Cyperaceae	
Cyphanthera	Solanaceae	
Cyphia	Campanulaceae	
Cyphomandra	Solanaceae	
Cyphostemma	Vitaceae	
Cypripedium	Orchidaceae	
Cyrilla	Cyrillaceae	
Cyrtanthus	Amaryllidaceae	
Cyrtomium	Dryopteridaceae	
Cyrtosperma	Araceae	
Cyrtostylis	Orchidaceae	
Cysticapnos	Papaveraceae	
Cystopteris	Woodsiaceae	
Cytisophyllum	Papilionaceae	
Cytisopsis	Papilionaceae	
Cytisus	Papilionaceae	
Daboecia	Ericaceae	
Dacrycarpus	Podocarpaceae	
Dacrydium	Podocarpaceae	
Dactylicapnos	Papaveraceae	
Dactylis	Poaceae	
Dactyloglossum	Orchidaceae	
Dactylorhiza	Orchidaceae	
Dahlia	Asteraceae	
Dais	Thymelaeaceae	
Daiswa	Trilliaceae	
Dalea	Papilionaceae	
Dalechampia	Euphorbiaceae	
Damasonium	Alismataceae	
Dampiera	Goodeniaceae	
Danae	Asparagaceae	
Danthonia	Poaceae	
Daphne	Thymelaeaceae	
Daphniphyllum	Daphniphyllaceae	
Darlingtonia	Sarraceniaceae	
Darmera	Saxifragaceae	
Darwinia	Myrtaceae	
Dasylirion	Asparagaceae	
Dasyphyllum	Asteraceae	
Dasypyrum	Poaceae	
Datisca	Datiscaceae	
Datura	Solanaceae	
Daubenya	Asparagaceae	
Daucus	Apiaceae	
Davallia	Davalliaceae	
Davidia	Nyssaceae	
Daviesia	Papilionaceae	
Debregeasia	Urticaceae	
Decaisnea	Lardizabalaceae	
Decodon	Lythraceae	
Decumaria	Hydrangeaceae	
Degenia	Brassicaceae	
Deinanthe	Hydrangeaceae	
Delairea	Asteraceae	
Delonix	Caesalpiniaceae	
Delosperma	Aizoaceae	
Delphinium	Ranunculaceae	
Dendranthema	Asteraceae	
Dendriopoterium	Rosaceae	
Dendrobenthamia	Cornaceae	
Dendrobium	Orchidaceae	
Dendrocalamus	Poaceae	
Dendromecon	Papaveraceae	
Dendropanax	Araliaceae	
Dendroseris	Asteraceae	
Dennstaedtia	Dennstaedtiaceae	
Dentaria	Brassicaceae	
Deparia	Woodsiaceae	
Dermatobotrys	Scrophulariaceae	
Derris	Papilionaceae	
Derwentia	Scrophulariaceae	
Deschampsia	Poaceae	
Descurainia	Brassicaceae	
Desfontainia	Loganiaceae	
Desmanthus	Mimosaceae	
Desmazeria	Poaceae	
Desmodium	Papilionaceae	
Desmos	Annonaceae	
Desmoschoenus	Cyperaceae	
Deuterocohnia	Bromeliaceae	
Deutzia	Hydrangeaceae	
Diabelia	Caprifoliaceae	
Dianella	Hemerocallidaceae	
Dianthus	Caryophyllaceae	
Diapensia	Diapensiaceae	
Diarrhena	Poaceae	
Diascia	Scrophulariaceae	
Diaspananthus	Compositae	
Dicentra	Papaveraceae	See also <g>Lamprocapnos</g>
Dichelachne	Poaceae	
Dichelostemma	Asparagaceae	
Dichocarpum	Ranunculaceae	
Dichondra	Convolvulaceae	
Dichopogon	Asparagaceae	
Dichorisandra	Commelinaceae	
Dichotomanthes	Rosaceae	
Dichroa	Hydrangeaceae	
Dichromena	Cyperaceae	
Dichrostachys	Mimosaceae	
Dicksonia	Dicksoniaceae	
Dicliptera	Acanthaceae	
Dicoma	Asteraceae	
Dicranostigma	Papaveraceae	
Dictamnus	Rutaceae	
Dictyolimon	Plumbaginaceae	
Dictyosperma	Arecaceae	
Didrangea	Hydrangeaceae	
Didymochlaena	Dryopteridaceae	
Didymosperma	Arecaceae	
Dieffenbachia	Araceae	
Dierama	Iridaceae	
Diervilla	Caprifoliaceae	
Dietes	Iridaceae	
Digitalis	Plantaginaceae	
Dilatris	Haemodoraceae	
Dimorphocarpa	Brassicaceae	
Dimorphotheca	Asteraceae	
Diocirea	Scrophulariaceae	
Dionaea	Droseraceae	
Dionysia	Primulaceae	
Dioon	Zamiaceae	
Dioscorea	Dioscoreaceae	
Diosma	Rutaceae	
Diosphaera	Campanulaceae	
Diospyros	Ebenaceae	
Diostea	Verbenaceae	
Dipcadi	Asparagaceae	
Dipelta	Caprifoliaceae	
Diphylleia	Berberidaceae	
Dipidax	Colchicaceae	
Diplacus	Scrophulariaceae	
Dipladenia	Apocynaceae	
Diplarche	Ericaceae	
Diplarrena	Iridaceae	
Diplarrhena	Iridaceae	
Diplazium	Woodsiaceae	
Diplolaena	Rutaceae	
Diplopanax	Cornaceae	
Diplostephium	Asteraceae	
Diplotaxis	Brassicaceae	
Dipogon	Papilionaceae	
Dipsacus	Caprifoliaceae	
Dipteracanthus	Acanthaceae	
Dipteronia	Sapindaceae	
Disa	Orchidaceae	
Disanthus	Hamamelidaceae	
Discaria	Rhamnaceae	
Dischidia	Apocynaceae	
Diselma	Cupressaceae	
Disepalum	Annonaceae	
Disphyma	Aizoaceae	
Disporopsis	Asparagaceae	
Disporum	Colchicaceae	
Dissotis	Melastomataceae	
Distictis	Bignoniaceae	
Distyliopsis	Hamamelidaceae	
Distylium	Hamamelidaceae	
Dithyrea	Brassicaceae	
Dittrichia	Asteraceae	
Diuranthera	Anthericaceae	
Diuris	Orchidaceae	
Dizygotheca	Araliaceae	
Dobinea	Anacardiaceae	
Dodecadenia	Lauraceae	
Dodecatheon	Primulaceae	
Dodonaea	Sapindaceae	
Doellingeria	Asteraceae	
Dolichandra	Bignoniaceae	
Dolichos	Papilionaceae	
Dolichothrix	Asteraceae	
Dolomiaea	Asteraceae	
Dombeya	Malvaceae	
Dondia	Apiaceae	
Doodia	Blechnaceae	
Doronicum	Asteraceae	
Dorotheanthus	Aizoaceae	
Doryanthes	Doryanthaceae	
Dorycnium	Papilionaceae	
Doryopteris	Pteridaceae	
Douglasia	Primulaceae	
Dovea	Restionaceae	
Dovyalis	Salicaceae	
Doxantha	Bignoniaceae	
Draba	Brassicaceae	
Dracaena	Asparagaceae	
Dracocephalum	Lamiaceae	
Dracophyllum	Ericaceae	
Dracunculus	Araceae	
Draperia	Boraginaceae	
Drapetes	Thymelaeaceae	
Dregea	Apocynaceae	
Drepanocladus	Amblystegiaceae	
Drepanostachyum	Poaceae	
Drimia	Asparagaceae	
Drimiopsis	Asparagaceae	
Drimys	Winteraceae	
Drosanthemum	Aizoaceae	
Drosera	Droseraceae	
Drosophyllum	Drosophyllaceae	
Dryandra	Proteaceae	
Dryas	Rosaceae	
Drynaria	Polypodiaceae	
Dryopteris	Dryopteridaceae	
Drypis	Caryophyllaceae	
Duchesnea	Rosaceae	
Dudleya	Crassulaceae	
Dugaldia	Asteraceae	
Dulichium	Cyperaceae	
Dumasia	Papilionaceae	
Dumortiera	Weisnerellaceae	
Dunalia	Solanaceae	
Duranta	Verbenaceae	
Duvalia	Apocynaceae	
Duvernoia	Acanthaceae	
Dyckia	Bromeliaceae	
Dymondia	Asteraceae	
Dypsis	Arecaceae	
Dyschoriste	Acanthaceae	
Dysosma	Berberidaceae	
Dystaenia	Apiaceae	
Ebenus	Papilionaceae	
Ebracteola	Aizoaceae	
Ecballium	Cucurbitaceae	
Eccremocarpus	Bignoniaceae	
Echeandia	Asparagaceae	
Echeveria	Crassulaceae	
Echidnopsis	Apocynaceae	
Echinacea	Asteraceae	
Echinocactus	Cactaceae	
Echinocereus	Cactaceae	
Echinocystis	Cucurbitaceae	
Echinodorus	Alismataceae	
Echinops	Asteraceae	
Echinopsis	Cactaceae	
Echinospartum	Papilionaceae	
Echium	Boraginaceae	
Eclipta	Asteraceae	
Ectotropis	Aizoaceae	
Edgeworthia	Thymelaeaceae	
Edraianthus	Campanulaceae	
Egeria	Hydrocharitaceae	
Ehrendorferia	Papaveraceae	
Ehretia	Boraginaceae	
Ehrharta	Poaceae	
Eichhornia	Pontederiaceae	
Elaeagnus	Elaeagnaceae	
Elaeocarpus	Elaeocarpaceae	
Elatostema	Urticaceae	
Elegia	Restionaceae	
Eleocharis	Cyperaceae	
Eleorchis	Orchidaceae	
Elephantopus	Asteraceae	
Elettaria	Zingiberaceae	
Eleusine	Poaceae	
Eleutherococcus	Araliaceae	
Elingamita	Primulaceae	
Elisena	Amaryllidaceae	
Elliottia	Ericaceae	
Ellisiophyllum	Plantaginaceae	
Elmera	Saxifragaceae	
Elodea	Hydrocharitaceae	
Elsholtzia	Lamiaceae	
Elymus	Poaceae	
Elytrigia	Poaceae	
Elytropus	Apocynaceae	
Embothrium	Proteaceae	
Emilia	Asteraceae	
Eminium	Araceae	
Emmenopterys	Rubiaceae	
Empetrum	Ericaceae	
Empodium	Hypoxidaceae	
Enantiophylla	Apiaceae	
Encelia	Asteraceae	
Enceliopsis	Asteraceae	
Encephalartos	Zamiaceae	
Enchylaena	Amaranthaceae	
Encyclia	Orchidaceae	
Endymion	Asparagaceae	
Engelmannia	Asteraceae	
Enkianthus	Ericaceae	
Ennealophus	Iridaceae	
Ensete	Musaceae	
Entelea	Malvaceae	
Enterolobium	Mimosaceae	
Eomecon	Papaveraceae	
Epacris	Ericaceae	
Ephedra	Ephedraceae	
Epidendrum	Orchidaceae	
Epigaea	Ericaceae	
Epigeneium	Orchidaceae	
Epilobium	Onagraceae	
Epimedium	Berberidaceae	
Epipactis	Orchidaceae	
Epiphyllum	Cactaceae	
Epipremnum	Araceae	
Episcia	Gesneriaceae	
Equisetum	Equisetaceae	
Eragrostis	Poaceae	
Eranthemum	Acanthaceae	
Eranthis	Ranunculaceae	
Ercilla	Phytolaccaceae	
Eremaea	Myrtaceae	
Eremophila	Scrophulariaceae	
Eremostachys	Lamiaceae	
Eremurus	Asphodelaceae	
Erepsia	Aizoaceae	
Erianthus	Poaceae	
Eriastrum	Polemoniaceae	
Erica	Ericaceae	
Ericameria	Asteraceae	
Erigeron	Asteraceae	
Erinacea	Papilionaceae	
Erinus	Plantaginaceae	
Eriobotrya	Rosaceae	
Eriocapitella	Ranunculaceae	
Eriocephalus	Asteraceae	
Eriogonum	Polygonaceae	
Eriophorum	Cyperaceae	
Eriophyllum	Asteraceae	
Eriophyton	Lamiaceae	
Eriospermum	Liliaceae	
Eriostemon	Rutaceae	
Eritrichium	Boraginaceae	
Erodium	Geraniaceae	
Erpetion	Violaceae	
Eruca	Brassicaceae	
Eryngium	Apiaceae	
Erysimum	Brassicaceae	
Erythraea	Gentianaceae	
Erythrina	Papilionaceae	
Erythronium	Liliaceae	
Escallonia	Escalloniaceae	
Eschscholzia	Papaveraceae	
Escobaria	Cactaceae	
Espeletia	Asteraceae	
Esterhuysenia	Aizoaceae	
Etlingera	Zingiberaceae	
Eubotryoides	Ericaceae	
Eubotrys	Ericaceae	
Eucalyptus	Myrtaceae	
Eucharidium	Onagraceae	
Eucharis	Amaryllidaceae	
Eucodonia	Gesneriaceae	
Eucomis	Asparagaceae	
Eucommia	Eucommiaceae	
Eucrosia	Amaryllidaceae	
Eucryphia	Cunoniaceae	
Eugenia	Myrtaceae	
Eumorphia	Asteraceae	
Eunomia	Brassicaceae	
Euodia	Rutaceae	
Euonymus	Celastraceae	
Eupatoriadelphus	Compositae	
Eupatorium	Asteraceae	
Euphorbia	Euphorbiaceae	
Euphrasia	Orobanchaceae	
Euptelea	Eupteleaceae	
Eurya	Pentaphylacaceae	
Euryale	Nymphaeaceae	
Eurybia	Asteraceae	
Euryops	Asteraceae	
Eurystyles	Orchidaceae	
Euscaphis	Staphyleaceae	
Eustachys	Poaceae	
Eustephia	Amaryllidaceae	
Eustoma	Gentianaceae	
Eustrephus	Philesiaceae	
Eutaxia	Papilionaceae	
Euterpe	Arecaceae	
Euthamia	Asteraceae	
Eutrema	Brassicaceae	
Eutrochium	Asteraceae	
Evolvulus	Convolvulaceae	
Ewartia	Asteraceae	
Exacum	Gentianaceae	
Exbucklandia	Hamamelidaceae	
Exochorda	Rosaceae	
Fabiana	Solanaceae	
Fagopyrum	Polygonaceae	
Fagraea	Gentianaceae	
Fagus	Fagaceae	
Falkia	Convolvulaceae	
Fallopia	Polygonaceae	
Fallugia	Rosaceae	
Faradaya	Verbenaceae	
Farfugium	Asteraceae	
Fargesia	Poaceae	
Farsetia	Brassicaceae	
Fascicularia	Bromeliaceae	
Fatshedera	Araliaceae	
Fatsia	Araliaceae	
Faucaria	Aizoaceae	
Fauria	Menyanthaceae	
Fedia	Valerianaceae	
Feijoa	Myrtaceae	
Felicia	Asteraceae	
Fenestraria	Aizoaceae	
Ferocactus	Cactaceae	
Ferraria	Iridaceae	
Ferreyranthus	Asteraceae	
Ferula	Apiaceae	
Ferulago	Apiaceae	
Festuca	Poaceae	
Fibigia	Brassicaceae	
Ficaria	Ranunculaceae	
Ficinia	Cyperaceae	
Ficus	Moraceae	
Filipendula	Rosaceae	
Fingerhuthia	Poaceae	
Firmiana	Malvaceae	
Fittonia	Acanthaceae	
Fitzroya	Cupressaceae	
Fleischmannia	Asteraceae	
Flueggea	Phyllanthaceae	
Fockea	Apocynaceae	
Foeniculum	Apiaceae	
Fokienia	Cupressaceae	
Fontanesia	Oleaceae	
Fontinalis	Fontinalaceae	
Forestiera	Oleaceae	
Forsythia	Oleaceae	
Fortucitroncirus	Rutaceae	
Fortunatia	Liliaceae	
Fortunearia	Hamamelidaceae	
Fortunella	Rutaceae	
Fothergilla	Hamamelidaceae	
Fouquieria	Fouquieriaceae	
Fragaria	Rosaceae	
Francoa	Francoaceae	
Frangula	Rhamnaceae	
Frankenia	Frankeniaceae	
Franklinia	Theaceae	
Frasera	Gentianaceae	
Fraxinus	Oleaceae	
Freesia	Iridaceae	
Fremontodendron	Malvaceae	
Freylinia	Scrophulariaceae	
Frithia	Aizoaceae	
Fritillaria	Liliaceae	
Fuchsia	Onagraceae	
Fumana	Cistaceae	
Fumaria	Papaveraceae	
Furcraea	Asparagaceae	
Gagea	Liliaceae	
Gahnia	Cyperaceae	
Gaillardia	Asteraceae	
Galactites	Asteraceae	
Galanthus	Amaryllidaceae	
Galatella	Asteraceae	
Galax	Diapensiaceae	
Galaxia	Iridaceae	
Galearis	Orchidaceae	
Galega	Papilionaceae	
Galeobdolon	Lamiaceae	
Galeopsis	Lamiaceae	
Galium	Rubiaceae	
Galphimia	Malpighiaceae	
Galpinia	Lythraceae	
Galtonia	Asparagaceae	
Galvezia	Plantaginaceae	
Gamblea	Araliaceae	
Gamochaeta	Asteraceae	
Gamolepis	Asteraceae	
Garcinia	Clusiaceae	
Gardenia	Rubiaceae	
Garrya	Garryaceae	
Garuleum	Asteraceae	
Gasteraloe	Asphodelaceae	
Gasteria	Asphodelaceae	
Gaulnettya	Ericaceae	
Gaultheria	Ericaceae	
Gaura	Onagraceae	
Gaussia	Arecaceae	
Gaylussacia	Ericaceae	
Gazania	Asteraceae	
Geissorhiza	Iridaceae	
Gelasine	Iridaceae	
Gelidocalamus	Poaceae	
Gelsemium	Gelsemiaceae	
Genista	Papilionaceae	
Gennaria	Orchidaceae	
Gentiana	Gentianaceae	
Gentianella	Gentianaceae	
Gentianopsis	Gentianaceae	
Geogenanthus	Commelinaceae	
Geranium	Geraniaceae	
Gerbera	Asteraceae	
Gerrardanthus	Cucurbitaceae	
Gesneria	Gesneriaceae	
Gethyllis	Amaryllidaceae	
Gethyum	Alliaceae	
Geum	Rosaceae	
Gevuina	Proteaceae	
Gibasis	Commelinaceae	
Gigaspermum	Gigaspermaceae	
Gilia	Polemoniaceae	
Gillenia	Rosaceae	
Gilliesia	Alliaceae	
Gingidia	Apiaceae	
Ginkgo	Ginkgoaceae	
Gladiolus	Iridaceae	
Glandularia	Verbenaceae	
Glaucidium	Ranunculaceae	
Glaucium	Papaveraceae	
Glaucosciadium	Apiaceae	
Glaux	Primulaceae	
Glebionis	Asteraceae	
Glechoma	Lamiaceae	
Gleditsia	Caesalpiniaceae	
Glehnia	Apiaceae	
Gleichenia	Gleicheniaceae	
Gliricidia	Papilionaceae	
Globba	Zingiberaceae	
Globularia	Plantaginaceae	
Gloriosa	Colchicaceae	
Glottiphyllum	Aizoaceae	
Gloxinella	Gesneriaceae	
Gloxinia	Gesneriaceae	
Glumicalyx	Scrophulariaceae	
Glyceria	Poaceae	
Glycyrrhiza	Papilionaceae	
Glyptostrobus	Cupressaceae	
Gmelina	Lamiaceae	
Gnaphalium	Asteraceae	
Godetia	Onagraceae	
Goeppertia	Marantaceae	
Gomphocarpus	Apocynaceae	
Gompholobium	Papilionaceae	
Gomphostigma	Scrophulariaceae	
Gomphrena	Amaranthaceae	
Gonatanthus	Araceae	
Goniolimon	Plumbaginaceae	
Goniophlebium	Polypodiaceae	
Goodenia	Goodeniaceae	
Goodia	Papilionaceae	
Goodyera	Orchidaceae	
Gordonia	Theaceae	
Gorgonidium	Araceae	
Gorodkovia	Brassicaceae	
Gossypium	Malvaceae	
Grafia	Apiaceae	
Graptopetalum	Crassulaceae	
Graptosedum	Crassulaceae	
Graptoveria	Crassulaceae	
Gratiola	Plantaginaceae	
Greenovia	Crassulaceae	
Greigia	Bromeliaceae	
Grevillea	Proteaceae	
Grewia	Malvaceae	
Greyia	Melianthaceae	
Griffinia	Amaryllidaceae	
Grindelia	Asteraceae	
Griselinia	Griseliniaceae	
Gueldenstaedtia	Papilionaceae	
Guichenotia	Sterculiaceae	
Guihaia	Arecaceae	
Gundelia	Asteraceae	
Gunnera	Gunneraceae	
Gutierrezia	Asteraceae	
Guzmania	Bromeliaceae	
Gymnadenia	Orchidaceae	
Gymnocalycium	Cactaceae	
Gymnocarpium	Woodsiaceae	
Gymnocladus	Caesalpiniaceae	
Gymnocoronis	Asteraceae	
Gymnogramma	Adiantaceae	
Gymnopteris	Pteridaceae	
Gymnospermium	Berberidaceae	
Gynandriris	Iridaceae	
Gynerium	Poaceae	
Gynostemma	Cucurbitaceae	
Gynura	Asteraceae	
Gypsophila	Caryophyllaceae	
Gyptis	Asteraceae	
Haastia	Asteraceae	
Habenaria	Orchidaceae	
Haberlea	Gesneriaceae	
Hablitzia	Amaranthaceae	
Habranthus	Amaryllidaceae	
Hackelia	Boraginaceae	
Hacquetia	Apiaceae	
Haemanthus	Amaryllidaceae	
Hagenia	Rosaceae	
Hakea	Proteaceae	
Hakonechloa	Poaceae	
Halenia	Gentianaceae	
Halesia	Styracaceae	
Halimiocistus	Cistaceae	
Halimione	Amaranthaceae	
Halimium	Cistaceae	
Halimodendron	Papilionaceae	
Halleria	Stilbaceae	
Halocarpus	Podocarpaceae	
Haloragis	Haloragaceae	
Hamamelis	Hamamelidaceae	
Hamatocactus	Cactaceae	
Hamelia	Rubiaceae	
Hanabusaya	Campanulaceae	
Hannonia	Amaryllidaceae	
Haplocarpha	Asteraceae	
Haplopappus	Asteraceae	
Haploppapus	Asteraceae	
Hardenbergia	Papilionaceae	
Harpephyllum	Anacardiaceae	
Harrimanella	Ericaceae	
Hasteola	Asteraceae	
Hastingsia	Asparagaceae	
Hatiora	Cactaceae	
Haworthia	Asphodelaceae	
Hebe	Plantaginaceae	
Hebenstretia	Scrophulariaceae	
Hechtia	Bromeliaceae	
Hectorella	Portulacaceae	
Hedeoma	Lamiaceae	
Hedera	Araliaceae	
Hedychium	Zingiberaceae	
Hedysarum	Papilionaceae	
Hedyscepe	Arecaceae	
Hegemone	Ranunculaceae	
Heimerliodendron	Nyctaginaceae	
Heimia	Lythraceae	
Helenium	Asteraceae	
Heliamphora	Sarraceniaceae	
Helianthella	Asteraceae	
Helianthemum	Cistaceae	
Helianthus	Asteraceae	
Helichrysum	Asteraceae	
Helicodiceros	Araceae	
Heliconia	Heliconiaceae	
Helictotrichon	Poaceae	
Heliophila	Brassicaceae	
Heliopsis	Asteraceae	
Heliotropium	Boraginaceae	
Helipterum	Asteraceae	
Helleborus	Ranunculaceae	
Helminthotheca	Asteraceae	
Helonias	Melanthiaceae	
Heloniopsis	Melanthiaceae	
Helwingia	Helwingiaceae	
Helxine	Urticaceae	
Hemerocallis	Hemerocallidaceae	
Hemiboea	Gesneriaceae	
Hemigraphis	Acanthaceae	
Hemionitis	Pteridaceae	
Hemiorchis	Zingiberaceae	
Hemiphragma	Scrophulariaceae	
Hemipilia	Orchidaceae	
Hemizygia	Lamiaceae	
Hepatica	Ranunculaceae	
Heppimenes	Gesneriaceae	
Heptacodium	Caprifoliaceae	
Heptapleurum	Araliaceae	
Heptaptera	Apiaceae	
Heracleum	Apiaceae	
Herbertia	Iridaceae	
Hereroa	Aizoaceae	
Hermannia	Malvaceae	
Hermodactylus	Iridaceae	See I. tuberosa under <g>Iris</g>
Herniaria	Caryophyllaceae	
Herpolirion	Asparagaceae	
Herrickia	Compositae	
Hertia	Asteraceae	
Hesperaloe	Asparagaceae	
Hesperantha	Iridaceae	
Hesperis	Brassicaceae	
Hesperochiron	Boraginaceae	
Hesperotropsis	Cupressaceae	
Hesperozygis	Lamiaceae	
Hessea	Amaryllidaceae	
Heterocentron	Melastomataceae	
Heterolepis	Asteraceae	
Heteromeles	Rosaceae	
Heteromorpha	Apiaceae	
Heteropappus	Asteraceae	
Heteropolygonatum	Asparagaceae	
Heteropyxis	Myrtaceae	
Heterotheca	Asteraceae	
Heuchera	Saxifragaceae	
Heucherella	Saxifragaceae	
Hexaglottis	Iridaceae	
Hexastylis	Aristolochiaceae	
Hibanobambusa	Poaceae	
Hibbertia	Dilleniaceae	
Hibiscadelphus	Malvaceae	
Hibiscus	Malvaceae	
Hieracium	Asteraceae	
Hierochloe	Poaceae	
Hieronymiella	Amaryllidaceae	
Himalayacalamus	Poaceae	
Himantoglossum	Orchidaceae	
Hippeasprekelia	Amaryllidaceae	
Hippeastrum	Amaryllidaceae	
Hippocrepis	Papilionaceae	
Hippolytia	Asteraceae	
Hippophae	Elaeagnaceae	
Hippuris	Plantaginaceae	
Hiptage	Malpighiaceae	
Hirpicium	Asteraceae	
Histiopteris	Dennstaedtiaceae	
Hohenbergia	Bromeliaceae	
Hoheria	Malvaceae	
Holarrhena	Apocynaceae	
Holboellia	Lardizabalaceae	
Holcus	Poaceae	
Holmskioldia	Lamiaceae	
Holodiscus	Rosaceae	
Homalocladium	Polygonaceae	
Homalomena	Araceae	
Homalotheca	Asteraceae	
Homeria	Iridaceae	
Homoglossum	Iridaceae	
Homogyne	Asteraceae	
Homoranthus	Myrtaceae	
Honckenya	Caryophyllaceae	
Hoodia	Apocynaceae	
Hookeria	Hookeriaceae	
Hordeum	Poaceae	
Horkelia	Rosaceae	
Horkeliella	Rosaceae	
Horminum	Lamiaceae	
Hornungia	Brassicaceae	
Hosta	Asparagaceae	
Hottonia	Primulaceae	
